"filename", "language", "Java", "HTML", "XML", "JavaScript", "CSS", "Java Properties", "Batch", "Markdown", "JSON", "JavaScript JSX", "PHP", "Excel", "MS SQL", "Less", "YAML", "Makefile", "SCSS", "Prolog", "CSV", "comment", "blank", "total"
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab/src/main/java/com/blps/lab1/databaseJPA/ReviewsRepo.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab/src/main/java/com/blps/lab1/databaseJPA/Role.java", "Java", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab/src/main/java/com/blps/lab1/databaseJPA/TicketsJPA.java", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab/src/main/java/com/blps/lab1/databaseJPA/TicketsRepo.java", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab/src/main/java/com/blps/lab1/service/AccountsService.java", "Java", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab/src/main/java/com/blps/lab1/service/MovieService.java", "Java", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 98
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab/src/main/java/com/blps/lab1/service/OrderService.java", "Java", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab/src/main/resources/application.properties", "Java Properties", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab/src/main/resources/dropTables.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6, 12
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab/src/main/resources/insertData.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab/src/main/resources/setTables.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab/src/test/java/com/blps/lab1/Lab1ApplicationTests.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab1/.idea/compiler.xml", "XML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab1/.idea/encodings.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab1/.idea/jarRepositories.xml", "XML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab1/.idea/misc.xml", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab1/.idea/vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab1/HELP.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab1/target/classes/application.properties", "Java Properties", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab1/target/classes/com/blps/lab1/Lab1Application.class", "Java", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab1/Lab1/target/classes/com/blps/lab1/ServletInitializer.class", "Java", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab2/.idea/Lab2.iml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab2/.idea/compiler.xml", "XML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab2/.idea/dataSources.xml", "XML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab2/.idea/encodings.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab2/.idea/jarRepositories.xml", "XML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab2/.idea/misc.xml", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab2/.idea/modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab2/.idea/vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab2/Lab/.mvn/wrapper/maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab2/Lab/mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 37, 206
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab2/Lab/pom.xml", "XML", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 113
"/Users/2398768715qq.com/GitHub/ITMO-Labs/BusinessLogic/Lab2/Lab/src/main/java/com/blps/lab1/Lab1Application.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
